pair_id,batch,premise_supported,label,confidence,rationale,exact_supporting_quote,scope_correction,source_key
legal_nli_051,NLI_BATCH_2.md,True,entailment,0.99,"The rule makes the finishing-country result conditional on every working edge/surface/part being configured, the imported blank being incapable of functioning, and the stated processing limit; otherwise the blank's origin controls. The hypothesis restates an express element of that rule or follows directly from its stated numerical condition.","(a) The country of origin of a good or part produced from a blank which by application of the Harmonized System General Interpretative Rule 2(a) is classified in the same heading, subheading or subdivision as the complete or finished good or part, shall be the country in which every working edge, working surface and working part was configured to final shape and dimension, provided, in its imported condition, the blank from which it was produced: (i) was not capable of functioning, and (ii) was not advanced beyond the initial stamping process or any processing required to remove the material from the forging platter or casting mould; (b) If the criteria in paragraph (a) are not satisfied, the country of origin is the country of origin of the blank of this Chapter.",,L_2015343EN.01000101 / chunk_129
legal_nli_052,NLI_BATCH_2.md,True,entailment,0.99,"The definition requires tobacco and glycerol; listed additives and fruit flavouring are optional, and tobacco-free water-pipe products are excluded. The hypothesis restates an express element of that rule or follows directly from its stated numerical condition.","For the purposes of subheading 2403 11, the expression 'water-pipe tobacco' means tobacco intended for smoking in a water pipe and which consists of a mixture of tobacco and glycerol, whether or not containing aromatic oils and extracts, molasses or sugar, and whether or not flavoured with fruit. However, tobacco-free products intended for smoking in a water pipe are excluded from this subheading.",,L_2016294EN.01000101 / chunk_164
legal_nli_053,NLI_BATCH_2.md,True,entailment,0.99,"The procedure requires time, speed and relative air velocity at 5 Hz, ambient temperature at at least 1 Hz, and at least ten coastdown runs, five each direction. The hypothesis restates an express element of that rule or follows directly from its stated numerical condition.","During the procedure, elapsed time, vehicle speed, and air velocity (wind speed, direction) relative to the vehicle, shall be measured at a frequency of 5 Hz. Ambient temperature shall be synchronised and sampled at a minimum frequency of 1 Hz. The measurements shall be carried out in opposite directions until a minimum of ten consecutive runs (five in each direction) have been obtained.",,L_2017175EN.01000101 / chunk_157
legal_nli_054,NLI_BATCH_2.md,True,neutral,0.98,"A withholding or denial requires notification of both the decision and reasons to the applicant authority without delay. The hypothesis introduces an additional fee, duty, date, location, equipment/origin restriction, compensation/refund, licensing rule, appeal right, or other fact absent from the premise; it is neutral.","If assistance is withheld or denied, the decision and the reasons therefor must be notified to the applicant authority without delay.",,L_1994001EN.01000101 / chunk_50
legal_nli_055,NLI_BATCH_2.md,True,entailment,0.99,The Committee on Trade in Goods may be convened at the request of a Party or the Trade Committee and comprises representatives of the Parties. The hypothesis restates an express element of that rule or follows directly from its stated numerical condition.,The Committee on Trade in Goods established pursuant to Article 15.2.1 (Specialised Committees) shall meet on the request of a Party or of the Trade Committee to consider any matter arising under this Chapter and comprise representatives of the Parties.,,L_2011127EN.01000101 / chunk_8
legal_nli_056,NLI_BATCH_2.md,True,entailment,0.99,"The definition requires tobacco and glycerol; listed additives and fruit flavouring are optional, and tobacco-free water-pipe products are excluded. The hypothesis restates an express element of that rule or follows directly from its stated numerical condition.","For the purposes of subheading 2403 11, the expression 'water-pipe tobacco' means tobacco intended for smoking in a water pipe and which consists of a mixture of tobacco and glycerol, whether or not containing aromatic oils and extracts, molasses or sugar, and whether or not flavoured with fruit. However, tobacco-free products intended for smoking in a water pipe are excluded from this subheading.",,L_2016294EN.01000101 / chunk_164
legal_nli_057,NLI_BATCH_2.md,True,entailment,0.99,"The definition requires tobacco and glycerol; listed additives and fruit flavouring are optional, and tobacco-free water-pipe products are excluded. The hypothesis restates an express element of that rule or follows directly from its stated numerical condition.","For the purposes of subheading 2403 11, the expression 'water-pipe tobacco' means tobacco intended for smoking in a water pipe and which consists of a mixture of tobacco and glycerol, whether or not containing aromatic oils and extracts, molasses or sugar, and whether or not flavoured with fruit. However, tobacco-free products intended for smoking in a water pipe are excluded from this subheading.",,L_2016294EN.01000101 / chunk_164
legal_nli_058,NLI_BATCH_2.md,True,neutral,0.98,"The definition requires tobacco and glycerol; listed additives and fruit flavouring are optional, and tobacco-free water-pipe products are excluded. The hypothesis introduces an additional fee, duty, date, location, equipment/origin restriction, compensation/refund, licensing rule, appeal right, or other fact absent from the premise; it is neutral.","For the purposes of subheading 2403 11, the expression 'water-pipe tobacco' means tobacco intended for smoking in a water pipe and which consists of a mixture of tobacco and glycerol, whether or not containing aromatic oils and extracts, molasses or sugar, and whether or not flavoured with fruit. However, tobacco-free products intended for smoking in a water pipe are excluded from this subheading.",,L_2016294EN.01000101 / chunk_164
legal_nli_059,NLI_BATCH_2.md,True,contradiction,0.99,"A withholding or denial requires notification of both the decision and reasons to the applicant authority without delay. The hypothesis reverses, excludes, or violates an express condition of the premise.","If assistance is withheld or denied, the decision and the reasons therefor must be notified to the applicant authority without delay.",,L_1994001EN.01000101 / chunk_50
legal_nli_060,NLI_BATCH_2.md,True,neutral,0.95,"The premise says judicial authorities may issue the interlocutory injunction. Permission does not entail a duty to grant every application, but the premise alone also does not expressly negate every possible mandatory rule. The stronger 'must grant every application' claim is therefore neutral.","The EC Party and the Signatory CARIFORUM States shall ensure that the judicial authorities may, at the request of the applicant issue an interlocutory injunction intended to prevent any imminent infringement of an intellectual property right, or to forbid, on a provisional basis and subject, where appropriate, to a recurring penalty payment where provided for by national law, the continuation of the alleged infringements of that right, or to make such continuation subject to the lodging of guarantees intended to ensure the compensation of the right holder where an infringement is determined. An interlocutory injunction may also be issued, under the same conditions, against an intermediary whose services are being used by a third party to infringe an intellectual property right.",Clarify that the guarantee language makes continuation of the alleged infringement subject to lodging guarantees intended to compensate the right holder if infringement is determined; the judicial authority 'may' issue the measure.,L_2008289EN.01000101 / chunk_48
legal_nli_061,NLI_BATCH_3.md,True,neutral,0.98,"The definition requires tobacco and glycerol; listed additives and fruit flavouring are optional, and tobacco-free water-pipe products are excluded. The hypothesis introduces an additional fee, duty, date, location, equipment/origin restriction, compensation/refund, licensing rule, appeal right, or other fact absent from the premise; it is neutral.","For the purposes of subheading 2403 11, the expression 'water-pipe tobacco' means tobacco intended for smoking in a water pipe and which consists of a mixture of tobacco and glycerol, whether or not containing aromatic oils and extracts, molasses or sugar, and whether or not flavoured with fruit. However, tobacco-free products intended for smoking in a water pipe are excluded from this subheading.",,L_2016294EN.01000101 / chunk_164
legal_nli_062,NLI_BATCH_3.md,True,entailment,0.99,A withholding or denial requires notification of both the decision and reasons to the applicant authority without delay. The hypothesis restates an express element of that rule or follows directly from its stated numerical condition.,"If assistance is withheld or denied, the decision and the reasons therefor must be notified to the applicant authority without delay.",,L_1994001EN.01000101 / chunk_50
legal_nli_063,NLI_BATCH_3.md,True,entailment,0.99,"The rule makes the finishing-country result conditional on every working edge/surface/part being configured, the imported blank being incapable of functioning, and the stated processing limit; otherwise the blank's origin controls. The hypothesis restates an express element of that rule or follows directly from its stated numerical condition.","(a) The country of origin of a good or part produced from a blank which by application of the Harmonized System General Interpretative Rule 2(a) is classified in the same heading, subheading or subdivision as the complete or finished good or part, shall be the country in which every working edge, working surface and working part was configured to final shape and dimension, provided, in its imported condition, the blank from which it was produced: (i) was not capable of functioning, and (ii) was not advanced beyond the initial stamping process or any processing required to remove the material from the forging platter or casting mould; (b) If the criteria in paragraph (a) are not satisfied, the country of origin is the country of origin of the blank of this Chapter.",,L_2015343EN.01000101 / chunk_129
legal_nli_064,NLI_BATCH_3.md,True,contradiction,0.99,"The rule sets a minimum free volatile acid content of 0.5% by weight, expressed as acetic acid, for the described heading-2001 products. The hypothesis reverses, excludes, or violates an express condition of the premise.","For the purposes of heading 2001 , vegetables, fruit, nuts and other edible parts of plants prepared or preserved by vinegar or acetic acid must have a content of free, volatile acid of 0,5 % by weight or more, expressed as acetic acid.",,L_2008291EN.01000101 / chunk_112
legal_nli_065,NLI_BATCH_3.md,True,neutral,0.96,The premise gives the five-State threshold and timing rule but does not state that the fifth State completed the step on 1 May 2027; that date claim is neutral.,"This Convention shall enter into force six months after the date on which five States referred to in Article 52, paragraph 1, have signed it without reservation of ratification, acceptance or approval or have deposited their instruments of ratification, acceptance, approval or accession. After five States referred to in Article 52, paragraph 1, have signed it without reservation of ratification, acceptance or approval, or have deposited their instruments of ratification, acceptance, approval or accession, this Convention shall enter into force for further Contracting Parties six months after the date of the deposit of their instruments of ratification, acceptance, approval or accession.","For exact source scope, replace 'eligible States' with 'States referred to in Article 52, paragraph 1'.",L_2009165EN.01000101 / chunk_10
legal_nli_066,NLI_BATCH_3.md,True,neutral,0.98,"The wood-flour definition allows no more than 8% by weight retained on a 0.63 mm sieve. The hypothesis introduces an additional fee, duty, date, location, equipment/origin restriction, compensation/refund, licensing rule, appeal right, or other fact absent from the premise; it is neutral.","For the purposes of heading 4405 , 'wood flour' means wood powder of which not more than 8 % by weight is retained by a sieve with an aperture of 0,63 mm.",,L_2011282EN.01000101 / chunk_271
legal_nli_067,NLI_BATCH_3.md,True,entailment,0.99,"The procedure requires time, speed and relative air velocity at 5 Hz, ambient temperature at at least 1 Hz, and at least ten coastdown runs, five each direction. The hypothesis restates an express element of that rule or follows directly from its stated numerical condition.","During the procedure, elapsed time, vehicle speed, and air velocity (wind speed, direction) relative to the vehicle, shall be measured at a frequency of 5 Hz. Ambient temperature shall be synchronised and sampled at a minimum frequency of 1 Hz. The measurements shall be carried out in opposite directions until a minimum of ten consecutive runs (five in each direction) have been obtained.",,L_2017175EN.01000101 / chunk_157
legal_nli_068,NLI_BATCH_3.md,True,contradiction,0.99,"The Committee on Trade in Goods may be convened at the request of a Party or the Trade Committee and comprises representatives of the Parties. The hypothesis reverses, excludes, or violates an express condition of the premise.",The Committee on Trade in Goods established pursuant to Article 15.2.1 (Specialised Committees) shall meet on the request of a Party or of the Trade Committee to consider any matter arising under this Chapter and comprise representatives of the Parties.,,L_2011127EN.01000101 / chunk_8
legal_nli_069,NLI_BATCH_3.md,True,entailment,0.99,"The rule makes the finishing-country result conditional on every working edge/surface/part being configured, the imported blank being incapable of functioning, and the stated processing limit; otherwise the blank's origin controls. The hypothesis restates an express element of that rule or follows directly from its stated numerical condition.","(a) The country of origin of a good or part produced from a blank which by application of the Harmonized System General Interpretative Rule 2(a) is classified in the same heading, subheading or subdivision as the complete or finished good or part, shall be the country in which every working edge, working surface and working part was configured to final shape and dimension, provided, in its imported condition, the blank from which it was produced: (i) was not capable of functioning, and (ii) was not advanced beyond the initial stamping process or any processing required to remove the material from the forging platter or casting mould; (b) If the criteria in paragraph (a) are not satisfied, the country of origin is the country of origin of the blank of this Chapter.",,L_2015343EN.01000101 / chunk_129
legal_nli_070,NLI_BATCH_3.md,True,contradiction,0.99,"The rule sets a minimum free volatile acid content of 0.5% by weight, expressed as acetic acid, for the described heading-2001 products. The hypothesis reverses, excludes, or violates an express condition of the premise.","For the purposes of heading 2001 , vegetables, fruit, nuts and other edible parts of plants prepared or preserved by vinegar or acetic acid must have a content of free, volatile acid of 0,5 % by weight or more, expressed as acetic acid.",,L_2008291EN.01000101 / chunk_112
legal_nli_071,NLI_BATCH_3.md,True,contradiction,0.99,"The rule expressly permits random verification and verification triggered by reasonable doubts about authenticity, originating status, or other Protocol requirements. The hypothesis reverses, excludes, or violates an express condition of the premise.","Subsequent verifications of proofs of origin shall be carried out at random or whenever the customs authorities of the importing country have reasonable doubts as to the authenticity of such documents, the originating status of the products concerned or the fulfilment of the other requirements of this Protocol.",,L_2007345EN.01000101 / chunk_39
legal_nli_072,NLI_BATCH_3.md,True,contradiction,0.99,"The rule expressly permits random verification and verification triggered by reasonable doubts about authenticity, originating status, or other Protocol requirements. The hypothesis reverses, excludes, or violates an express condition of the premise.","Subsequent verifications of proofs of origin shall be carried out at random or whenever the customs authorities of the importing country have reasonable doubts as to the authenticity of such documents, the originating status of the products concerned or the fulfilment of the other requirements of this Protocol.",,L_2007345EN.01000101 / chunk_39
legal_nli_073,NLI_BATCH_3.md,True,neutral,0.98,"The Committee on Trade in Goods may be convened at the request of a Party or the Trade Committee and comprises representatives of the Parties. The hypothesis introduces an additional fee, duty, date, location, equipment/origin restriction, compensation/refund, licensing rule, appeal right, or other fact absent from the premise; it is neutral.",The Committee on Trade in Goods established pursuant to Article 15.2.1 (Specialised Committees) shall meet on the request of a Party or of the Trade Committee to consider any matter arising under this Chapter and comprise representatives of the Parties.,,L_2011127EN.01000101 / chunk_8
legal_nli_074,NLI_BATCH_3.md,True,entailment,0.99,"The rule permits applicant-requested interlocutory injunctions for imminent infringement, provisional continuation restrictions/guarantees, and injunctions against qualifying intermediaries. The hypothesis restates an express element of that rule or follows directly from its stated numerical condition.","The EC Party and the Signatory CARIFORUM States shall ensure that the judicial authorities may, at the request of the applicant issue an interlocutory injunction intended to prevent any imminent infringement of an intellectual property right, or to forbid, on a provisional basis and subject, where appropriate, to a recurring penalty payment where provided for by national law, the continuation of the alleged infringements of that right, or to make such continuation subject to the lodging of guarantees intended to ensure the compensation of the right holder where an infringement is determined. An interlocutory injunction may also be issued, under the same conditions, against an intermediary whose services are being used by a third party to infringe an intellectual property right.",Clarify that the guarantee language makes continuation of the alleged infringement subject to lodging guarantees intended to compensate the right holder if infringement is determined; the judicial authority 'may' issue the measure.,L_2008289EN.01000101 / chunk_48
legal_nli_075,NLI_BATCH_3.md,True,contradiction,0.99,"The rule makes the finishing-country result conditional on every working edge/surface/part being configured, the imported blank being incapable of functioning, and the stated processing limit; otherwise the blank's origin controls. The hypothesis reverses, excludes, or violates an express condition of the premise.","(a) The country of origin of a good or part produced from a blank which by application of the Harmonized System General Interpretative Rule 2(a) is classified in the same heading, subheading or subdivision as the complete or finished good or part, shall be the country in which every working edge, working surface and working part was configured to final shape and dimension, provided, in its imported condition, the blank from which it was produced: (i) was not capable of functioning, and (ii) was not advanced beyond the initial stamping process or any processing required to remove the material from the forging platter or casting mould; (b) If the criteria in paragraph (a) are not satisfied, the country of origin is the country of origin of the blank of this Chapter.",,L_2015343EN.01000101 / chunk_129
legal_nli_076,NLI_BATCH_3.md,True,neutral,0.98,"The rule makes the finishing-country result conditional on every working edge/surface/part being configured, the imported blank being incapable of functioning, and the stated processing limit; otherwise the blank's origin controls. The hypothesis introduces an additional fee, duty, date, location, equipment/origin restriction, compensation/refund, licensing rule, appeal right, or other fact absent from the premise; it is neutral.","(a) The country of origin of a good or part produced from a blank which by application of the Harmonized System General Interpretative Rule 2(a) is classified in the same heading, subheading or subdivision as the complete or finished good or part, shall be the country in which every working edge, working surface and working part was configured to final shape and dimension, provided, in its imported condition, the blank from which it was produced: (i) was not capable of functioning, and (ii) was not advanced beyond the initial stamping process or any processing required to remove the material from the forging platter or casting mould; (b) If the criteria in paragraph (a) are not satisfied, the country of origin is the country of origin of the blank of this Chapter.",,L_2015343EN.01000101 / chunk_129
legal_nli_077,NLI_BATCH_3.md,True,contradiction,0.99,"The rule makes the finishing-country result conditional on every working edge/surface/part being configured, the imported blank being incapable of functioning, and the stated processing limit; otherwise the blank's origin controls. The hypothesis reverses, excludes, or violates an express condition of the premise.","(a) The country of origin of a good or part produced from a blank which by application of the Harmonized System General Interpretative Rule 2(a) is classified in the same heading, subheading or subdivision as the complete or finished good or part, shall be the country in which every working edge, working surface and working part was configured to final shape and dimension, provided, in its imported condition, the blank from which it was produced: (i) was not capable of functioning, and (ii) was not advanced beyond the initial stamping process or any processing required to remove the material from the forging platter or casting mould; (b) If the criteria in paragraph (a) are not satisfied, the country of origin is the country of origin of the blank of this Chapter.",,L_2015343EN.01000101 / chunk_129
legal_nli_078,NLI_BATCH_3.md,True,entailment,0.99,The wood-flour definition allows no more than 8% by weight retained on a 0.63 mm sieve. The hypothesis restates an express element of that rule or follows directly from its stated numerical condition.,"For the purposes of heading 4405 , 'wood flour' means wood powder of which not more than 8 % by weight is retained by a sieve with an aperture of 0,63 mm.",,L_2011282EN.01000101 / chunk_271
legal_nli_079,NLI_BATCH_3.md,True,entailment,0.99,The initial threshold is five Article 52(1) States and the interval is six months; further Contracting Parties also face a six-month interval after deposit. The hypothesis restates an express element of that rule or follows directly from its stated numerical condition.,"This Convention shall enter into force six months after the date on which five States referred to in Article 52, paragraph 1, have signed it without reservation of ratification, acceptance or approval or have deposited their instruments of ratification, acceptance, approval or accession. After five States referred to in Article 52, paragraph 1, have signed it without reservation of ratification, acceptance or approval, or have deposited their instruments of ratification, acceptance, approval or accession, this Convention shall enter into force for further Contracting Parties six months after the date of the deposit of their instruments of ratification, acceptance, approval or accession.","For exact source scope, replace 'eligible States' with 'States referred to in Article 52, paragraph 1'.",L_2009165EN.01000101 / chunk_10
legal_nli_080,NLI_BATCH_3.md,True,contradiction,0.99,"The procedure requires time, speed and relative air velocity at 5 Hz, ambient temperature at at least 1 Hz, and at least ten coastdown runs, five each direction. The hypothesis reverses, excludes, or violates an express condition of the premise.","During the procedure, elapsed time, vehicle speed, and air velocity (wind speed, direction) relative to the vehicle, shall be measured at a frequency of 5 Hz. Ambient temperature shall be synchronised and sampled at a minimum frequency of 1 Hz. The measurements shall be carried out in opposite directions until a minimum of ten consecutive runs (five in each direction) have been obtained.",,L_2017175EN.01000101 / chunk_157
legal_nli_081,NLI_BATCH_3.md,True,contradiction,0.99,"A withholding or denial requires notification of both the decision and reasons to the applicant authority without delay. The hypothesis reverses, excludes, or violates an express condition of the premise.","If assistance is withheld or denied, the decision and the reasons therefor must be notified to the applicant authority without delay.",,L_1994001EN.01000101 / chunk_50
legal_nli_082,NLI_BATCH_3.md,True,neutral,0.98,"The rule sets a minimum free volatile acid content of 0.5% by weight, expressed as acetic acid, for the described heading-2001 products. The hypothesis introduces an additional fee, duty, date, location, equipment/origin restriction, compensation/refund, licensing rule, appeal right, or other fact absent from the premise; it is neutral.","For the purposes of heading 2001 , vegetables, fruit, nuts and other edible parts of plants prepared or preserved by vinegar or acetic acid must have a content of free, volatile acid of 0,5 % by weight or more, expressed as acetic acid.",,L_2008291EN.01000101 / chunk_112
legal_nli_083,NLI_BATCH_3.md,True,contradiction,0.99,"The Committee on Trade in Goods may be convened at the request of a Party or the Trade Committee and comprises representatives of the Parties. The hypothesis reverses, excludes, or violates an express condition of the premise.",The Committee on Trade in Goods established pursuant to Article 15.2.1 (Specialised Committees) shall meet on the request of a Party or of the Trade Committee to consider any matter arising under this Chapter and comprise representatives of the Parties.,,L_2011127EN.01000101 / chunk_8
legal_nli_084,NLI_BATCH_3.md,True,contradiction,0.99,"The wood-flour definition allows no more than 8% by weight retained on a 0.63 mm sieve. The hypothesis reverses, excludes, or violates an express condition of the premise.","For the purposes of heading 4405 , 'wood flour' means wood powder of which not more than 8 % by weight is retained by a sieve with an aperture of 0,63 mm.",,L_2011282EN.01000101 / chunk_271
legal_nli_085,NLI_BATCH_3.md,True,neutral,0.98,"The procedure requires time, speed and relative air velocity at 5 Hz, ambient temperature at at least 1 Hz, and at least ten coastdown runs, five each direction. The hypothesis introduces an additional fee, duty, date, location, equipment/origin restriction, compensation/refund, licensing rule, appeal right, or other fact absent from the premise; it is neutral.","During the procedure, elapsed time, vehicle speed, and air velocity (wind speed, direction) relative to the vehicle, shall be measured at a frequency of 5 Hz. Ambient temperature shall be synchronised and sampled at a minimum frequency of 1 Hz. The measurements shall be carried out in opposite directions until a minimum of ten consecutive runs (five in each direction) have been obtained.",,L_2017175EN.01000101 / chunk_157
legal_nli_086,NLI_BATCH_3.md,True,entailment,0.99,"The rule expressly permits random verification and verification triggered by reasonable doubts about authenticity, originating status, or other Protocol requirements. The hypothesis restates an express element of that rule or follows directly from its stated numerical condition.","Subsequent verifications of proofs of origin shall be carried out at random or whenever the customs authorities of the importing country have reasonable doubts as to the authenticity of such documents, the originating status of the products concerned or the fulfilment of the other requirements of this Protocol.",,L_2007345EN.01000101 / chunk_39
legal_nli_087,NLI_BATCH_3.md,True,neutral,0.98,"The rule makes the finishing-country result conditional on every working edge/surface/part being configured, the imported blank being incapable of functioning, and the stated processing limit; otherwise the blank's origin controls. The hypothesis introduces an additional fee, duty, date, location, equipment/origin restriction, compensation/refund, licensing rule, appeal right, or other fact absent from the premise; it is neutral.","(a) The country of origin of a good or part produced from a blank which by application of the Harmonized System General Interpretative Rule 2(a) is classified in the same heading, subheading or subdivision as the complete or finished good or part, shall be the country in which every working edge, working surface and working part was configured to final shape and dimension, provided, in its imported condition, the blank from which it was produced: (i) was not capable of functioning, and (ii) was not advanced beyond the initial stamping process or any processing required to remove the material from the forging platter or casting mould; (b) If the criteria in paragraph (a) are not satisfied, the country of origin is the country of origin of the blank of this Chapter.",,L_2015343EN.01000101 / chunk_129
legal_nli_088,NLI_BATCH_3.md,True,neutral,0.98,"The rule expressly permits random verification and verification triggered by reasonable doubts about authenticity, originating status, or other Protocol requirements. The hypothesis introduces an additional fee, duty, date, location, equipment/origin restriction, compensation/refund, licensing rule, appeal right, or other fact absent from the premise; it is neutral.","Subsequent verifications of proofs of origin shall be carried out at random or whenever the customs authorities of the importing country have reasonable doubts as to the authenticity of such documents, the originating status of the products concerned or the fulfilment of the other requirements of this Protocol.",,L_2007345EN.01000101 / chunk_39
legal_nli_089,NLI_BATCH_3.md,True,contradiction,0.99,"The initial threshold is five Article 52(1) States and the interval is six months; further Contracting Parties also face a six-month interval after deposit. The hypothesis reverses, excludes, or violates an express condition of the premise.","This Convention shall enter into force six months after the date on which five States referred to in Article 52, paragraph 1, have signed it without reservation of ratification, acceptance or approval or have deposited their instruments of ratification, acceptance, approval or accession. After five States referred to in Article 52, paragraph 1, have signed it without reservation of ratification, acceptance or approval, or have deposited their instruments of ratification, acceptance, approval or accession, this Convention shall enter into force for further Contracting Parties six months after the date of the deposit of their instruments of ratification, acceptance, approval or accession.","For exact source scope, replace 'eligible States' with 'States referred to in Article 52, paragraph 1'.",L_2009165EN.01000101 / chunk_10
legal_nli_090,NLI_BATCH_3.md,True,entailment,0.99,A withholding or denial requires notification of both the decision and reasons to the applicant authority without delay. The hypothesis restates an express element of that rule or follows directly from its stated numerical condition.,"If assistance is withheld or denied, the decision and the reasons therefor must be notified to the applicant authority without delay.",,L_1994001EN.01000101 / chunk_50
